DATE,DR/CR,PARTICULARS,NARRATION,M # & CHQ #,VR #,DEBIT(RS.),CREDIT(RS.)
44798,CR,Bank ABL A/C # 54,Cash withdraw for Electricity Bill Site at phase-2,70869186,ABL-54-BPV-39,,205000
44804,DR,Advance Tax,Advance Tax,,ABL-54-BPV-40,649,
44804,CR,Bank ABL A/C # 54,Advance Tax,,ABL-54-BPV-40,,649
44805,DR,Legal and Professional,Salary of Legal Advisor for the m/o August 2022,70869217,ABL-54-BPV-41,20000,
44805,CR,Bank ABL A/C # 54,Salary of Legal Advisor for the m/o August 2022,70869217,ABL-54-BPV-41,,20000
44805,DR,Legal and Professional,Salary of Professional Consultant for the m/o August 2022,70869218,ABL-54-BPV-42,20000,
44805,CR,Bank ABL A/C # 54,Salary of Professional Consultant for the m/o August 2022,70869218,ABL-54-BPV-42,,20000
44805,DR,Legal and Professional,Monthly Service Charges of M/s Eagle Associates for the m/o August 2022,70869219,ABL-54-BPV-43,9000,
44805,CR,Bank ABL A/C # 54,Monthly Service Charges of M/s Eagle Associates for the m/o August 2022,70869219,ABL-54-BPV-43,,9000
44805,DR,Cash Withdrawal,Staff Salaries for the m/o August 2022,70869215,ABL-54-BPV-44,742000,
44805,CR,Bank ABL A/C # 54,Staff Salaries for the m/o August 2022,70869215,ABL-54-BPV-44,,742000
44805,DR,Cash Withdrawal,Petty Cash for the m/o September 2022,70869216,ABL-54-BPV-45,100000,
44805,CR,Bank ABL A/C # 54,Petty Cash for the m/o September 2022,70869216,ABL-54-BPV-45,,100000
44810,DR,Utility Bills,"Water, Sewerage/drainage  (Office) bill for the period of 29-07-2022 to 29-08-2022",70869221,ABL-54-BPV-46,1390,
44810,CR,Bank ABL A/C # 54,"Water, Sewerage/drainage  (Office) bill for the period of 29-07-2022 to 29-08-2022",70869221,ABL-54-BPV-46,,1390
44810,DR,Vehicle Running and Maintenance,Repair and Maintenance of Society's Tractor including labour charges,70869204,ABL-54-BPV-47,9000,
44810,CR,Bank ABL A/C # 54,Repair and Maintenance of Society's Tractor including labour charges,70869204,ABL-54-BPV-47,,9000
44810,DR,Bank Charges,Bank Charges,,ABL-54-BPV-48,464,
44810,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-48,,464
44810,DR,LDA Expense,Paid for making a bank draft in the name of LDA UD Wing for public notice,70869220,ABL-54-BPV-49,60000,
44810,CR,Bank ABL A/C # 54,Paid for making a bank draft in the name of LDA UD Wing for public notice,70869220,ABL-54-BPV-49,,60000
44810,DR,Water and Electricity Expense,Paid to M/s Mutahir Metal works for the purchase and supply of 29 ft steel wire pipe and 70 ft steel wire pipe for the upgradation of electric works at phase-2,70869187,ABL-54-BPV-50,39300,
44810,CR,Bank ABL A/C # 54,Paid to M/s Mutahir Metal works for the purchase and supply of 29 ft steel wire pipe and 70 ft steel wire pipe for the upgradation of electric works at phase-2,70869187,ABL-54-BPV-50,,39300
44810,DR,Water and Electricity Expense,Paid to M/s Mutahir Metal works for the purchase and supply of 69 mtr cable for the upgradation of electric works at phase-2,70869195,ABL-54-BPV-51,75900,
44810,CR,Bank ABL A/C # 54,Paid to M/s Mutahir Metal works for the purchase and supply of 69 mtr cable for the upgradation of electric works at phase-2,70869195,ABL-54-BPV-51,,75900
44811,DR,Bank Charges,Bank Charges,,ABL-54-BPV-52,96,
44811,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-52,,96
44811,DR,Bank Charges,Bank Charges,,ABL-54-BPV-53,600,
44811,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-53,,600
44811,DR,Bank Charges,Bank Charges,,ABL-54-BPV-54,96,
44811,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-54,,96
44811,DR,Bank Charges,Bank Charges,,ABL-54-BPV-55,600,
44811,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-55,,600
44811,DR,Bank Charges,Bank Charges,,ABL-54-BPV-56,96,
44811,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-56,,96
44811,DR,Bank Charges,Bank Charges,,ABL-54-BPV-57,600,
44811,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-57,,600
44817,DR,Development Expenditure,Paid to M/s Nevcon Constructor for releasing the retention Money of Water Supply from Bill No. 105 to 115 at Phase-2,70869198,ABL-54-BPV-58,33393,
44817,CR,Bank ABL A/C # 54,Paid to M/s Nevcon Constructor for releasing the retention Money of Water Supply from Bill No. 105 to 115 at Phase-2,70869198,ABL-54-BPV-58,,33393
44817,DR,Development Expenditure,Paid to M/s Nevcon Constructor for releasing the retention Money of Sewerage from Bill No. 105 to 115 at Phase-2,70869196,ABL-54-BPV-59,93704,
44817,CR,Bank ABL A/C # 54,Paid to M/s Nevcon Constructor for releasing the retention Money of Sewerage from Bill No. 105 to 115 at Phase-2,70869196,ABL-54-BPV-59,,93704
44817,DR,Masjid Development,Paid to SAK Building for making 2-Single Glazed sliding windows with Arch designing with 5-mm glass with fitting for the upper portion of Society's Masjid at Phase-2,70869213,ABL-54-BPV-60,30000,
44817,CR,Bank ABL A/C # 54,Paid to SAK Building for making 2-Single Glazed sliding windows with Arch designing with 5-mm glass with fitting for the upper portion of Society's Masjid at Phase-2,70869213,ABL-54-BPV-60,,30000
44817,DR,Water and Electricity Expense,"Paid for digging bore, hole & water supply connections including labour charges of plot no. 79-B, 136-B etc. at phase-2",70869189,ABL-54-BPV-61,11800,
44817,CR,Bank ABL A/C # 54,"Paid for digging bore, hole & water supply connections including labour charges of plot no. 79-B, 136-B etc. at phase-2",70869189,ABL-54-BPV-61,,11800
44817,DR,Vehicle Running and Maintenance,Repair and Maintenance of Society's Tractor including labour charges,70869190,ABL-54-BPV-62,21650,
44817,CR,Bank ABL A/C # 54,Repair and Maintenance of Society's Tractor including labour charges,70869190,ABL-54-BPV-62,,21650
44817,DR,Utility Bills,Telephone Bill for the m/o July 2022,70869202,ABL-54-BPV-63,5960,
44817,DR,Advance Tax,Telephone Bill for the m/o July 2022,70869202,ABL-54-BPV-63,410,
44817,CR,Bank ABL A/C # 54,Telephone Bill for the m/o July 2022,70869202,ABL-54-BPV-63,,6370
44817,DR,Advertisement,Paid to Waseem Anwar for the pubilcation of an Ad Daily New Ausaf for the awareness of Independence Day ,70869203,ABL-54-BPV-64,25000,
44817,CR,Bank ABL A/C # 54,Paid to Waseem Anwar for the pubilcation of an Ad Daily New Ausaf for the awareness of Independence Day ,70869203,ABL-54-BPV-64,,25000
44817,DR,Demarcation Expense,"Demarcation Bill paid for plot no. 181-B, 67-C etc. at Phase-2",70869207,ABL-54-BPV-65,10500,
44817,CR,Bank ABL A/C # 54,"Demarcation Bill paid for plot no. 181-B, 67-C etc. at Phase-2",70869207,ABL-54-BPV-65,,10500
44817,DR,Water and Electricity Expense,"Paid for Digging bore, hole and water supply connection including labour charges of plot no. 192-A, 281-C etc. at Phase-2",70869208,ABL-54-BPV-66,13000,
44817,CR,Bank ABL A/C # 54,"Paid for Digging bore, hole and water supply connection including labour charges of plot no. 192-A, 281-C etc. at Phase-2",70869208,ABL-54-BPV-66,,13000
44817,DR,Utility Bills,Sui Gas Bill for the m/o July 2022,70869209,ABL-54-BPV-67,260,
44817,CR,Bank ABL A/C # 54,Sui Gas Bill for the m/o July 2022,70869209,ABL-54-BPV-67,,260
44817,DR,Bank Charges,Bank Charges,AC-PL52058,ABL-54-BPV-68,96,
44817,CR,Bank ABL A/C # 54,Bank Charges,AC-PL52058,ABL-54-BPV-68,,96
44817,DR,Bank Charges,Bank Charges,IWCLGRTLCY,ABL-54-BPV-69,600,
44817,CR,Bank ABL A/C # 54,Bank Charges,IWCLGRTLCY,ABL-54-BPV-69,,600
44818,DR,Utility Bills,Electricity Bill (Office) for the m/o August 2022,70869224,ABL-54-BPV-70,60747,
44818,CR,Bank ABL A/C # 54,Electricity Bill (Office) for the m/o August 2022,70869224,ABL-54-BPV-70,,60747
44818,DR,Masjid Development,Paid for the purchase of different electric items for the installation of Masjid Inverter and Battery at Phase-2,70869212,ABL-54-BPV-71,4700,
44818,CR,Bank ABL A/C # 54,Paid for the purchase of different electric items for the installation of Masjid Inverter and Battery at Phase-2,70869212,ABL-54-BPV-71,,4700
44818,DR,Water and Electricity Expense,"Paid for Digging bore, hole and water supply connection including labour charges at Phase-2",70869214,ABL-54-BPV-72,11420,
44818,CR,Bank ABL A/C # 54,"Paid for Digging bore, hole and water supply connection including labour charges at Phase-2",70869214,ABL-54-BPV-72,,11420
44818,DR,Water and Electricity Expense,Paid to M/s Mutahir Metal works for the purchase and supply of 25 mtr cable for the upgradation of electric works at phase-2,,ABL-54-BPV-73,17875,
44818,CR,Bank ABL A/C # 54,Paid to M/s Mutahir Metal works for the purchase and supply of 25 mtr cable for the upgradation of electric works at phase-2,,ABL-54-BPV-73,,17875
44818,DR,Printing and Stationary,Annual Basis Agreement fee paid to M/s Unique Business for Photo Copy Machine at Office,,ABL-54-BPV-74,8000,
44818,CR,Bank ABL A/C # 54,Annual Basis Agreement fee paid to M/s Unique Business for Photo Copy Machine at Office,,ABL-54-BPV-74,,8000
44820,DR,Development Expenditure,Paid to M/s Nevcon Constructor for releasing the retention Money of Roads from Bill No. 105 to 116 at Phase-2,70869200,ABL-54-BPV-75,338847,
44820,CR,Bank ABL A/C # 54,Paid to M/s Nevcon Constructor for releasing the retention Money of Roads from Bill No. 105 to 116 at Phase-2,70869200,ABL-54-BPV-75,,338847
44823,DR,Bank Charges,Bank Charges,,ABL-54-BPV-76,112,
44823,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-76,,112
44823,DR,Bank Charges,Bank Charges,,ABL-54-BPV-77,700,
44823,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-77,,700
44826,DR,Cash Withdrawal,Cash withdraw for Electricity Bill Site at phase-2,70869228,ABL-54-BPV-78,420000,
44826,CR,Bank ABL A/C # 54,Cash withdraw for Electricity Bill Site at phase-2,70869228,ABL-54-BPV-78,,420000
44826,DR,Masjid Development,Purchase of Installation Materials of RO Plant Water System including installation charges at Phase-2,70869229,ABL-54-BPV-79,150000,
44826,CR,Bank ABL A/C # 54,Purchase of Installation Materials of RO Plant Water System including installation charges at Phase-2,70869229,ABL-54-BPV-79,,150000
44831,DR,Masjid Development,Paid to M/s Bismillah Battery and Repairing Centre fo the purchase of 2 new phoenix (UGS-190) batteries for Society's Masjid Phase-2,70869211,ABL-54-BPV-80,50000,
,CR,Bank ABL A/C # 54,,,,,50000
44831,DR,Legal and Professional,Paid to Legal Advisor for the case pending in the court of Assistant Commissioner Model Town Lahore,70869206,ABL-54-BPV-81,55000,
44831,CR,Bank ABL A/C # 54,Paid to Legal Advisor for the case pending in the court of Assistant Commissioner Model Town Lahore,70869206,ABL-54-BPV-81,,55000
44831,DR,Water and Electricity Expense,Different Bills paid to for the purchase and supply of different electric items for the upgradation of electric works in Block A & C at phase-2,70869188,ABL-54-BPV-82,47620,
44831,CR,Bank ABL A/C # 54,Different Bills paid to for the purchase and supply of different electric items for the upgradation of electric works in Block A & C at phase-2,70869188,ABL-54-BPV-82,,47620
44831,DR,Masjid Development,Paid to M/s Mashallah Solar Power for purchasing a new ups inverter (XT Ron MPPT) (2400V) for Society's Masjid Phase-2,70869210,ABL-54-BPV-83,48500,
44831,CR,Bank ABL A/C # 54,Paid to M/s Mashallah Solar Power for purchasing a new ups inverter (XT Ron MPPT) (2400V) for Society's Masjid Phase-2,70869210,ABL-54-BPV-83,,48500
44831,DR,Water and Electricity Expense,Paid to M/s Afzal Electric Transformer for the repair and Maintenance of 200-KV at Phase-2,70869191,ABL-54-BPV-84,40500,
44831,CR,Bank ABL A/C # 54,Paid to M/s Afzal Electric Transformer for the repair and Maintenance of 200-KV at Phase-2,70869191,ABL-54-BPV-84,,40500
44831,DR,Water and Electricity Expense,Different Bills paid to Irshad for the purchase and supply of different electric items for the upgradation of electric works in Block C at phase-2,70869205,ABL-54-BPV-85,36500,
44831,CR,Bank ABL A/C # 54,Different Bills paid to Irshad for the purchase and supply of different electric items for the upgradation of electric works in Block C at phase-2,70869205,ABL-54-BPV-85,,36500
44833,DR,Repair and Maintenance Phase-II,Paid to M/s Bismillah electric works for for rewinding the Society' Tubewell Motor including labour charges Phase-2,70869232,ABL-54-BPV-86,88051,
44833,CR,Bank ABL A/C # 54,Paid to M/s Bismillah electric works for for rewinding the Society' Tubewell Motor including labour charges Phase-2,70869232,ABL-54-BPV-86,,88051
44833,DR,Utility Bills,Telephone Bill for the m/o August 2022,70869225,ABL-54-BPV-87,5701,
44833,DR,Advance Tax,Telephone Bill for the m/o August 2022,70869225,ABL-54-BPV-87,419,
44833,CR,Bank ABL A/C # 54,Telephone Bill for the m/o August 2022,70869225,ABL-54-BPV-87,,6120
44833,DR,Printing and Stationary,Paid to M/s Printer Zone for the refilling of Society's 3-printers of Society office use,70869226,ABL-54-BPV-88,3500,
44833,CR,Bank ABL A/C # 54,Paid to M/s Printer Zone for the refilling of Society's 3-printers of Society office use,70869226,ABL-54-BPV-88,,3500
44833,DR,Water and Electricity Expense,Different Bills paidfor the purchase and supply of different electric items for the upgradation of electric works at phase-2,70869227,ABL-54-BPV-89,23860,
44833,CR,Bank ABL A/C # 54,Different Bills paidfor the purchase and supply of different electric items for the upgradation of electric works at phase-2,70869227,ABL-54-BPV-89,,23860
44833,DR,Vehicle Running and Maintenance,Changing Oil of Society's Tractor including labour charges at Phase-2,70869230,ABL-54-BPV-90,7700,
44833,CR,Bank ABL A/C # 54,Changing Oil of Society's Tractor including labour charges at Phase-2,70869230,ABL-54-BPV-90,,7700
44833,DR,Demarcation Expense,Paid for the demarcating of plot no. 63-A etc. at Phase-2,70869231,ABL-54-BPV-91,10500,
44833,CR,Bank ABL A/C # 54,Paid for the demarcating of plot no. 63-A etc. at Phase-2,70869231,ABL-54-BPV-91,,10500
44834,DR,Advance Tax,Advance Tax,,ABL-54-BPV-92,255,
44834,CR,Bank ABL A/C # 54,Advance Tax,,ABL-54-BPV-92,,255
44838,DR,Cash Withdrawal,Staff Salaries for the m/o September 2022,70869239,ABL-54-BPV-93,763000,
44838,CR,Bank ABL A/C # 54,Staff Salaries for the m/o September 2022,70869239,ABL-54-BPV-93,,763000
44844,DR,Water and Electricity Expense,Purchase of different electric items etc. for the electric works of RO Water Filter plant at Phase-2,70869237,ABL-54-BPV-94,11650,
44844,CR,Bank ABL A/C # 54,Purchase of different electric items etc. for the electric works of RO Water Filter plant at Phase-2,70869237,ABL-54-BPV-94,,11650
44844,DR,Water and Electricity Expense,Paid to M/s Mutahir Metal works for the purchase and supply of 92 mtrs cable for the electric works at Phase-2,70869238,ABL-54-BPV-95,59984,
44844,CR,Bank ABL A/C # 54,Paid to M/s Mutahir Metal works for the purchase and supply of 92 mtrs cable for the electric works at Phase-2,70869238,ABL-54-BPV-95,,59984
44844,DR,Utility Bills,Sui Gas Bill for the m/o August 2022,70869236,ABL-54-BPV-96,260,
44844,CR,Bank ABL A/C # 54,Sui Gas Bill for the m/o August 2022,70869236,ABL-54-BPV-96,,260
44846,DR,Cash Withdrawal,For Petty Cash for the m/o October 2022,70869240,ABL-54-BPV-97,150000,
44846,CR,Bank ABL A/C # 54,For Petty Cash for the m/o October 2022,70869240,ABL-54-BPV-97,,150000
44846,DR,Repair and Maintenance Office,Paid for the upgradation of main server for office use,70869244,ABL-54-BPV-98,9000,
44846,CR,Bank ABL A/C # 54,Paid for the upgradation of main server for office use,70869244,ABL-54-BPV-98,,9000
44846,DR,Legal and Professional,Salary of Legal Advisor for the m/o September 2022,70869241,ABL-54-BPV-99,20000,
44846,CR,Bank ABL A/C # 54,Salary of Legal Advisor for the m/o September 2022,70869241,ABL-54-BPV-99,,20000
44846,DR,Legal and Professional,Salary of Professional Consultant for the m/o September 2022,70869242,ABL-54-BPV-100,20000,
44846,CR,Bank ABL A/C # 54,Salary of Professional Consultant for the m/o September 2022,70869242,ABL-54-BPV-100,,20000
44846,DR,Legal and Professional,Monthly Service Charges of M/s Eagle Associates for the m/o September 2022,70869243,ABL-54-BPV-101,9000,
44846,CR,Bank ABL A/C # 54,Monthly Service Charges of M/s Eagle Associates for the m/o September 2022,70869243,ABL-54-BPV-101,,9000
44848,DR,Legal and Professional,Balance Payment paid to M/s Sevcon Services Consultant for preparing the part plans at Phase-2,70869192,ABL-54-BPV-102,102330,
44848,CR,Bank ABL A/C # 54,Balance Payment paid to M/s Sevcon Services Consultant for preparing the part plans at Phase-2,70869192,ABL-54-BPV-102,,102330
44854,DR,Utility Bills,Electricity Bill (Office) for the m/o September 2022,70869245,ABL-54-BPV-103,50792,
44854,CR,Bank ABL A/C # 54,Electricity Bill (Office) for the m/o September 2022,70869245,ABL-54-BPV-103,,50792
44854,DR,Purchase of Land,,70869250,ABL-54-BPV-104,5000000,
44854,CR,Bank ABL A/C # 54,,70869250,ABL-54-BPV-104,,5000000
44865,DR,Advance Tax,Advance Tax,,ABL-54-BPV-105,3166,
44865,CR,Bank ABL A/C # 54,Advance Tax,,ABL-54-BPV-105,,3166
44868,DR,Water and Electricity Expense,"Paid to M/s Itehad Construction Services for the purchase and supply of pipes for sewerage, sanitary & elcectric works at Phase-2",70869234,ABL-54-BPV-106,169608,
44868,CR,Bank ABL A/C # 54,"Paid to M/s Itehad Construction Services for the purchase and supply of pipes for sewerage, sanitary & elcectric works at Phase-2",70869234,ABL-54-BPV-106,,169608
44868,DR,Cash Withdrawal,Staff Salaries for the m/o October 2022,70869254,ABL-54-BPV-107,815000,
44868,CR,Bank ABL A/C # 54,Staff Salaries for the m/o October 2022,70869254,ABL-54-BPV-107,,815000
44869,DR,Utility Bills,Telephone Bill for the m/o September 2022,70869253,ABL-54-BPV-108,5805,
44869,DR,Advance Tax,Telephone Bill for the m/o September 2022,70869253,ABL-54-BPV-108,435,
44869,CR,Bank ABL A/C # 54,Telephone Bill for the m/o September 2022,70869253,ABL-54-BPV-108,,6240
44869,DR,Cash Withdrawal,Petty Cash for the m/o November 2022,70869255,ABL-54-BPV-109,155000,
44869,CR,Bank ABL A/C # 54,Petty Cash for the m/o November 2022,70869255,ABL-54-BPV-109,,155000
44869,DR,Bank Charges,Bank Charges,,ABL-54-BPV-110,144,
